release_id,artist,title,year,format,lowest_gbp,num_for_sale
20232391,Nicola Conte / Gianluca Petrella,People Need People / The Higher Love,2021,"7"", Single",8.6,7
14857305,Alfa Mist,On My Ones,2020,"10"", EP, Ltd",14.99,29
15800501,Minnie Riperton,Les Fleur / Oh! By The Way,2020,"7"", RSD, Single, RE",21.29,7
14100359,Ashley Henry,Beautiful Vinyl Hunter,2019,"2xLP, Album",30.12,9
24013148,Tania Maria,Come With Me,2022,"7"", RE",13.48,17
15526429,Various,Brazil Funk Power,2020,"5x7"", RM + Box, RSD, Comp, Ltd",39.95,18
16792446,Various,Cuba: Music And Revolution (Culture Clash In Havana Cuba: Experiments In Latin Music 1975-85 Vol. 1),2021,"3xLP, Comp",24.0,33
22738766,Soul Supreme (4),Award Tour (We Gettin' Down) / Bonita Applebum (Daylight),2022,"7""",17.12,12
14015179,"Theo Parrish, Lori (32), Silentjay, Perrin Moss, Simon Mavin, Paul Bender (2)",What You Gonna Ask For,2019,"12""",21.51,10
18809407,Kaidi Tatham,Feeling Happy / Sooner Or Later,2021,"7""",6.0,14
10710133,Steve Monite / Tabu Ley Rochereau,Only You / Hafi Deo,2017,"12""",14.62,48
4080563,Kiki Gyan,24 Hours In A Disco 1978-82,2012,"2xLP, Comp",21.08,57
9425519,Various,"Doing It In Lagos (Boogie, Pop & Disco In 1980s Nigeria)",2016,"3xLP, Comp + 7""",21.51,95
21308809,Various,"Ritmo Fantasía: Balearic Spanish Synth​-​Pop, Boogie & House (1982​-​1992)",2021,"3xLP, Comp",30.27,15
28262656,The Circling Sun,Spirits,2023,"LP, Album, RP",15.5,47
34495186,The Circling Sun,Orbits,2025,"LP, Album",23.99,18
10504693,Lord Echo,Harmonies,2017,"2x12"", Album",14.63,41
27166710,Marvin Gaye,I Wanna Be Where You Are / I Want You,2023,"12"", Ltd",10.0,25
13632972,Goody Goody,It Looks Like Love,2019,"12"", RE, RM",7.74,24
